"CHE FR","chemical engineering faculty room","CHE FR","CHE faculty room"
"CSE HOD","CSE HOD","Computer Science Head of Department"
"Principal Office","Principal Office","Principal room","Principal's Office","Principal's Room"
"Admin Office","Administrator office","Admin Office","admin  room","admin's room"
"TPO Office","TPO Office","TPO's room"
"CSE FR","CSE FR","computer sci faculty room","Computer science engineering faculty room"
"CSE Department","CSE Department","CSE dept","cse Dept","CSE classes","computer science department"
"ECE HOD","ECE HOD","Electronics hod","Electronics and communication HOD","Electronics engineering hod"
"ECE FR","ECE FR","ECE Faculty room","Electronics Faculty room"
"ECE Department","ECE Department","Electronics and communication department","ECE dept","electronics dept"
"IT HOD","IT HOD","Information Tech HOD","IT head of department"
"IT FR","IT FR","IT faculty room","Information Technology Faculty room"
"IT Department","IT Department","it department","IT dept","Information Technology department"
"CHE HOD","CHE HOD","chemical engineering head of department","Chem head of dept"
"CHE Department","CHE Department","chemical department","chemical engineering dept"
"PHY HOD","PHY HOD","physics head of department","phy head of dept"
"PHY FR","PHY FR","physics faculty room","phy faculty room"
"PHY Department","PHY Department","physics department","phy dept"
"MTH HOD","MTH HOD","Maths Head of Department","Maths hod"
"MTH FR","MTH FR","maths faculty room","Maths faculty place","Math faculty room"
"MTH Department","MTH Department","Maths department","maths classes"
"HMTS HOD","HMTS HOD","HMTS head of department","hmts head of dept","humanities department"
"HMTS FR","HMTS FR","Humanities faculty room"
"HMTS Department","HMTS Department","Humanities department","hmts dept","hmts classes"
"Workshop","Workshop"
"ME HOD","Mechanical Engineering Head Of Department","Head Of Department, Mechanical Engineering","Mechanical Engineering HOD"
"ME FR","Mechanial Engineering Faculty Room","Mechanical Engineering Staff Room","ME Faculty Room","ME Staff Room"
"ME Department","ME Department","Mechanical Engineering department","chemical engineering dept"
"Civil HOD","Civil Engineering Head Of Department","Head Of Department, Civil Engineering","Civil Engineering HOD"
"Civil FR","Civil Engineering Faculty Room","Civil Engineering Staff Room","Civil Faculty Room","Civil Staff Room"
"Civil Department","Civil Department","Civil Engineering department","civil engineering dept"
"Elec HOD","Electrical Engineering Head Of Department","Head Of Department, Electrical Engineering","Electrical Engineering HOD","EEE HOD"
"Elec FR","Electrical Engineering Faculty Room","Electrical Engineering Staff Room","Electrical Faculty Room","Electrical Staff Room"".""EEE fasculty room"
"Elec Department","Electrical Department","Electrical Engineering department","Electrical engineering dept"".""EEE department"
"AEIE HOD","Applied Electronics and Instrumentation Engineering Head Of Department","Head Of Department","Applied Electronics and Instrumentation Engineering","Applied Electronics and Instrumentation Engineering HOD"
"AEIE FR","Applied Electronics and Instrumentation Engineering Faculty Room","Applied Electronics and Instrumentation Engineering Staff Room","AEIE Faculty Room","AEIE Staff Room"
"AEIE Department","AEIE Department","Applied Electronics and Instrumentation Engineering department","Applied Electronics & Instrumentation engineering dept"
"BT HOD","Bio Technology Head Of Department Head Of Department","Bio Technology HOD","BioTech HOD", "BioTech Head of Department","BT Head of Department"
"BT FR","Bio Technology Faculty Room","Bio Technology Staff Room","BT Faculty Room","BT Staff Room","BioTech Faculty Room","BioTech Staff Room"
"BT Department","BioTech Department","Bio Technology department","BT dept","Bio Technology dept","BioTech dept"